16 41 40 58 59 40 40 2 3 40 16 41 40 58 59 40 40 40 40 40 92 93 40 40 92 93 40 40
16 41 40 74 75 40 40 18 19 40 16 41 40 74 75 40 40 40 40 40 94 95 40 40 94 95 40 40
16 41 72 76 77 7 54 11 1 11 16 41 72 76 77 73 1 11 1 11 1 11 1 11 1 11 1 11
16 41 72 6 22 13 26 27 17 27 16 41 72 6 22 73 17 27 17 27 17 27 17 27 17 27 17 27
4 5 56 8 8 8 8 10 8 8 4 5 8 8 8 8 8 8 8 8 90 91 1 11 90 91 8 8
20 21 24 25 24 25 24 25 24 25 20 21 24 25 24 25 24 25 24 25 25 24 17 27 25 24 24 25
1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 66 70
17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 82 86
36 37 57 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 9 88
52 53 60 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27
38 39 54 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11
42 43 26 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27
32 33 32 33 1 11 1 11 1 11 1 11 32 33 32 33 1 11 1 11 1 11 1 11 32 33 32 33
48 49 48 49 17 27 17 27 17 27 17 27 48 49 48 49 17 27 17 27 17 27 17 27 48 49 48 49
34 35 34 35 1 11 12 12 12 12 1 11 34 35 34 35 1 11 1 11 1 11 1 11 34 35 34 35
50 51 50 51 17 27 28 28 28 28 17 27 50 51 50 51 17 27 17 27 17 27 17 27 50 51 50 51
