40 40 40 40 90 91 90 91 90 91 90 91 40 40 40 40
78 79 78 79 44 45 44 45 44 45 44 45 78 79 78 79
76 77 76 77 46 47 46 47 46 47 46 47 76 77 76 77
23 29 23 29 62 63 62 63 62 63 62 63 23 29 23 29
54 11 1 11 1 11 1 11 1 11 1 11 1 11 1 11
26 27 17 27 17 27 17 27 17 27 17 27 17 27 17 27
64 65 65 67 1 11 1 11 64 65 65 67 64 65 65 67
80 81 81 83 17 27 17 27 80 81 81 83 80 81 81 83
40 40 40 40 54 11 1 11 68 69 69 71 68 69 69 71
40 40 16 41 26 27 17 27 84 85 85 87 84 85 85 87
54 11 14 15 54 11 1 11 1 11 1 11 1 11 1 11
26 27 30 31 26 27 17 27 17 27 17 27 17 27 17 27
56 8 16 41 54 11 1 11 1 11 1 11 1 11 1 11
25 24 25 24 26 27 17 27 17 27 17 27 17 27 17 27
54 11 1 11 1 11 12 12 12 12 1 11 1 11 1 11
26 27 17 27 17 27 28 28 28 28 17 27 17 27 17 27
