38 38 38 6 38 38 38 38 38 6 39 39 6 0 0 0 0 0 6 0
6 6 6 6 6 6 6 6 6 6 39 39 6 6 6 6 6 6 6 6
6 38 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 38 6
6 38 0 1 228 229 229 230 0 1 0 1 228 229 229 230 0 1 38 6
6 38 2 2 496 497 499 500 1 0 2 2 496 497 499 500 1 0 38 6
6 38 2 4 421 231 304 459 0 1 2 4 421 231 304 459 0 1 38 6
6 38 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 38 6
6 38 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 38 6
6 38 1 0 2 2 2 2 1 0 342 343 343 343 343 344 1 0 38 6
6 38 0 1 7 7 7 4 0 1 380 381 381 381 381 382 0 1 38 6
6 38 1 0 38 38 38 38 1 0 418 419 348 349 350 420 1 0 38 6
6 38 0 1 38 38 38 38 0 1 456 457 231 457 457 458 0 1 38 6
6 38 1 0 1 0 1 0 1 0 2 2 2 2 2 2 2 2 38 6
6 38 0 1 0 1 0 1 0 1 7 7 7 4 7 7 2 2 38 6
6 38 38 38 10 85 85 8 2 2 38 38 38 38 38 38 2 2 38 6
6 38 38 38 48 47 47 46 2 2 38 38 38 38 38 38 2 2 38 6
6 38 38 38 48 47 47 46 2 2 2 2 2 2 2 2 2 2 38 6
6 6 38 38 48 47 47 46 6 6 6 6 6 6 6 6 6 6 6 6
