44 44 42 43 44 44 44 44 44 44 44 44 44 44 42 43 57 57 57 57 42 43 44 44 44 44 44 44 44 44 44 44 42 43 44 44
44 44 58 59 44 44 44 44 44 44 44 44 44 44 58 59 57 57 57 57 58 59 44 44 44 44 44 44 44 44 44 44 58 59 44 44
44 44 42 43 42 43 42 43 42 43 42 43 42 43 42 43 57 57 57 57 42 43 42 43 42 43 42 43 42 43 42 43 42 43 44 44
44 44 58 59 58 59 58 59 58 59 58 59 58 59 58 59 57 57 57 57 58 59 58 59 58 59 58 59 58 59 58 59 58 59 44 44
44 44 42 43 44 44 44 44 44 44 44 44 44 44 44 44 57 57 57 57 44 44 44 44 44 44 44 44 44 44 44 44 42 43 44 44
44 44 58 59 44 44 44 44 44 44 44 44 44 44 44 44 57 57 57 57 44 44 44 44 44 44 44 44 44 3 44 3 58 59 44 44
44 44 42 43 44 44 44 44 44 44 44 44 44 44 44 44 57 57 57 57 44 44 44 44 44 44 44 44 3 44 3 44 42 43 44 44
44 44 58 59 44 44 44 44 44 44 44 44 44 44 44 44 57 57 57 57 44 44 44 44 44 44 44 44 44 44 44 44 58 59 44 44
44 44 42 43 44 44 44 44 44 44 44 44 44 44 64 65 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 42 43 44 44
44 44 58 59 44 44 44 44 44 44 44 44 44 44 80 81 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 58 59 44 44
44 44 42 43 44 44 44 44 44 44 44 44 44 44 64 65 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 42 43 44 44
44 44 58 59 55 55 55 55 55 55 55 55 55 55 80 81 55 55 55 55 55 55 55 55 57 57 57 57 57 57 57 57 58 59 44 44
44 44 64 65 44 44 44 44 44 44 44 44 44 44 64 65 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 64 65 44 44
44 44 80 81 44 3 44 3 44 3 44 3 44 44 80 81 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 80 81 44 44
44 44 64 65 3 44 3 44 3 44 3 44 44 44 64 65 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 64 65 44 44
44 44 80 81 44 44 44 44 44 44 44 44 44 44 80 81 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 80 81 44 44
44 44 64 65 44 44 44 44 44 44 44 44 44 44 64 65 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 64 65 44 44
44 44 80 81 44 44 44 44 44 44 44 44 44 44 80 81 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 80 81 44 44
44 44 64 65 44 44 44 44 44 44 44 44 44 44 64 65 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 64 65 44 44
44 44 80 81 55 55 55 55 55 55 55 55 55 55 80 81 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 82 80 81 44 44
44 44 64 65 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 57 57 57 57 57 57 57 57 57 57 57 57 64 65 44 44
44 44 80 81 44 44 44 44 44 3 44 3 44 3 44 3 44 44 44 44 57 57 57 57 57 57 57 57 57 57 57 57 80 81 44 44
